id,name,host_id,host_name,neighbou_1,latitude,longitude,room_type,price,minimum_ni
"52284605",The Blue Jewel | Walk to 5 Points & Fatherland,"106505883",TurnKey Vacation Rentals,District 6,36.166330000000002,-86.751130000000003,Entire home/apt,"221","2"
"52284922","Modern town-home, and Nashville skyline view!","76572048",Patrick,District 2,36.196339999999999,-86.777780000000007,Entire home/apt,"243","2"
"52288588",Dolly's Dream House ? Champagne Bar w/ DT views ??,"60934272",Travers,District 19,36.164420000000000,-86.804299999999998,Entire home/apt,"456","2"
"52295758",Stay in a place of your own | 2BR in Hermitage,"368944610",,District 12,36.170879999999997,-86.595150000000004,Entire home/apt,"191","90"
"52298105",Cozy studio blocks from Broadway,"347867631",Angeline,District 19,36.153610000000000,-86.769189999999995,Entire home/apt,"241","1"
"52299019","Rustic, open concept, studio space","403485028",Elizabeth,District 15,36.218780000000002,-86.698409999999996,Entire home/apt,"525","1"
"52299270",Spacious Melrose Studio ~ Mins from Downtown!,"6855810",UrbanNashville,District 17,36.126522000000001,-86.778014999999996,Entire home/apt,"79","1"
"52301430",Chic 2 Bedroom 2.5 bathroom townhome!,"162927450",Ashton,District 4,36.039960000000001,-86.720669999999998,Entire home/apt,"179","1"
"52302618",One Bedroom Duplex Near Vandy & Hillsboro Village,"40995602",Rumi,District 18,36.128660000000004,-86.807329999999993,Entire home/apt,"108","30"
"52316344",Deluxe Oasis of Comfort | 10min to DT | Pool + Gym,"391537476",Kiesha,District 24,36.130440000000000,-86.819890000000001,Entire home/apt,"95","30"
"52318392",The Wille ? Huge Roof Deck + Mins to Broadway,"1542713",Brandon,District 17,36.136699999999998,-86.786569999999998,Entire home/apt,"495","3"
"52319189",Amazing 1 Bed! Luxury Building Downtown Nashville!,"391945218",Matt,District 19,36.150799999999997,-86.800309999999996,Entire home/apt,"588","30"
"52319981",Serenade Infinity-Classy 1 Bedroom w/small Terrace,"407710536",Oasis,District 19,36.151184000000001,-86.787384000000003,Entire home/apt,"117","30"
"52319993",Historic Home- Walk to Bars & Restaurants- 7 Beds!,"70801117",Harley,District 6,36.168869999999998,-86.754409999999993,Entire home/apt,"499","2"
"52320989",Stylish and clean 2BD just minutes from Downtown,"7798378",Alex,District 19,36.165810000000000,-86.801640000000006,Entire home/apt,"75","1"
"52322070",SoBro Guest House by Black Swan - Center of SoBro,"127034950",Black Swan,District 19,36.156860000000002,-86.774640000000005,Entire home/apt,"101","1"
"52322091",SoBro Guest House by Black Swan - Trendy Suite,"127034950",Black Swan,District 19,36.157010000000000,-86.774670000000000,Entire home/apt,"101","1"
"52322126",SoBro Guest House by Black Swan - Two Blocks from Broadway,"127034950",Black Swan,District 19,36.155259999999998,-86.772880000000001,Entire home/apt,"101","1"
"52322514",SoBro Guest House by Black Swan - ADA Flat,"127034950",Black Swan,District 19,36.155220000000000,-86.772630000000007,Entire home/apt,"98","1"
"52323521",Whiskey in a Wine Glass - Luxurious/Walkable Home!,"85360355",StayLocal,District 21,36.142930000000000,-86.819029999999998,Entire home/apt,"311","1"
"52323609",The East End Vibe - 10 Minutes from Downtown!,"85360355",StayLocal,District 5,36.203200000000002,-86.740769999999998,Entire home/apt,"186","1"
"52332854",NASHVILLA. A Luxe Escape + Close to Downtown.,"159994562",Liz,District 5,36.195990000000002,-86.769149999999996,Entire home/apt,"595","2"
"52336544",Modern|Organic Beautiful Home 4 mi. from Downtown,"415294325",Allyson,District 5,36.203299999999999,-86.755889999999994,Entire home/apt,"139","1"
"52339033",Cute little house close to everything,"71879937",Aj,District 21,36.156910000000003,-86.819220000000001,Entire home/apt,"100","30"
"52343693",The Nashville Pool House,"64441156",Mike,District 8,36.261270000000003,-86.743700000000004,Entire home/apt,"160","2"
"52346766",The Jolene ? Bubbly Bar w/ Views ? 5min to DT! ?,"60934272",Travers,District 21,36.163469999999997,-86.804289999999995,Entire home/apt,"419","2"
"52353279",Baritone at Harmony - Rooftop Deck - Skyline View - 8 Min to Broadway,"121534901",Andrew,District 5,36.201270000000001,-86.753249999999994,Entire home/apt,"218","2"
"52364925","Beautiful Nashville Home w/Private Washer & Dryer, Free WiFi, Deck, Central AC","134126657",Vacasa Tennessee,District 8,36.244380000000000,-86.736390000000000,Entire home/apt,"265","2"
"52379337","VALENTINES WKND 12,13,14 Margaritaville, Nashville","407646300",Jason,District 19,36.154350000000001,-86.776030000000006,Entire home/apt,"459","3"
"52381461",The Rad Pad on 2nd Ave | Downtown Nashville (NEW),"24956094",Katie,District 19,36.155110000000001,-86.771529999999998,Entire home/apt,"115","1"
"52381483","Beautiful Home, 3-miles to Downtown Nashville!","402767816",Pmi,District 21,36.172510000000003,-86.812420000000003,Entire home/apt,"182","3"
"52383508","3000 sqft, 6 bd/3ba, Walk/Bike downtown, midtown","35208416",Jenny,District 21,36.163119999999999,-86.812039999999996,Entire home/apt,"199","30"
"52386353","East Nash Pool House *sleeps 8* Hot Tub, walkable","424028868",Hans And Liz,District 5,36.179440000000000,-86.757970000000000,Entire home/apt,"206","1"
"52387693",NEW! Cozy Nashville Abode: Remote Workers Welcome!,"121235121",Evolve,District 7,36.195239999999998,-86.726339999999993,Entire home/apt,"106","30"
"52390246","?Home for the Holidays?Cozy, spacious, Mins to DT","88959664",Julian,District 2,36.188339999999997,-86.804910000000007,Entire home/apt,"137","2"
"52391088",Enjoy DOWNTOWN views @ LUXURY equipped condo!!!!,"417094671",Premier Stay,District 19,36.155850000000001,-86.776330000000002,Entire home/apt,"119","1"
"52392492",Music City Luxury Stays| DWTN| Pool|Secure Parking,"405010707",A New,District 19,36.155479999999997,-86.775670000000005,Entire home/apt,"187","1"
"52398847","East Nash Pool House *sleeps 10* walkable, hot tub","424028868",Hans And Liz,District 5,36.178510000000003,-86.758060000000000,Entire home/apt,"208","1"
"52400874","The Lyric- Spacious Four Bedroom with Rooftop Oasis in East Nashville, Stay 3 Nights Get 4th Free Nov-Feb","6675690",Isabeau And Shaun,District 5,36.201960000000000,-86.753479999999996,Entire home/apt,"252","2"
"52401497",Amazing Dolly Apartment,"60934272",Travers,District 19,36.146220000000000,-86.795349999999999,Entire home/apt,"143","1"
"52407138","East Nash Pool House, *sleeps 16*walkable, hot tub","424028868",Hans And Liz,District 5,36.179470000000002,-86.757729999999995,Entire home/apt,"522","2"
"52410184",Cozy West Nashville Home - 7 Miles to Downtown,"196687971",Leanna,District 20,36.163440000000001,-86.871610000000004,Entire home/apt,"120","30"
"52420759",3 bedroom 2 bath ranch with fireplace and deck,"424298151",Gerald,District 28,36.073030000000003,-86.657929999999993,Entire home/apt,"401","1"
"52429202",The Maddox on Wedgewood,"85360355",StayLocal,District 17,36.136640000000000,-86.785520000000005,Entire home/apt,"286","1"
"52436924",SoBro Guest House by Black Swan - One-Bedroom Loft,"127034950",Black Swan,District 19,36.157069999999997,-86.773129999999995,Entire home/apt,"103","1"
"52440845",2 Luxury Downtown Homes Minutes to Downtown,"335977682",Allen,District 21,36.156010000000002,-86.819119999999998,Entire home/apt,"873","2"
"52453141",NashVegas Rooftop?4 Bedroom?4 Bath?Rooftop?5m2DT,"31549142",Brandon,District 5,36.200429999999997,-86.753730000000004,Entire home/apt,"321","2"
"52455328",ADULT PLAYGROUND?1Mi to DT Music & Sports Venues?,"16969719",Drew,District 5,36.182740000000003,-86.768259999999998,Entire home/apt,"686","2"
"52458615",1-Bed 1-Bath Suite Fast Wi-Fi Free Parking!,"424617338",Paul,District 19,36.145040000000002,-86.794579999999996,Entire home/apt,"189","2"
"52464514","12 S Treehouse - Rooftop deck, best of Nashville","30962240",Xenos,District 18,36.128982999999998,-86.790038999999993,Entire home/apt,"402","3"
"52464515",Peace Teepee - Walk to Shelby Park & local shops!,"30962240",Xenos,District 6,36.168446000000003,-86.738319000000004,Entire home/apt,"301","3"
"52488778",HUGE ROYAL TOWNHOME ? BEAUTIFUL DESIGN ? ROOFTOP,"101426897",Host Extraordinaires,District 21,36.155389999999997,-86.817580000000007,Entire home/apt,"309","3"
