"GEO_ID","NAME","H1_001N","H1_002N","H1_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant"
"1000000US470370102012004","Block 2004, Block Group 2, Census Tract 102.01, Davidson County, Tennessee","31","25","6"
"1000000US470370102012005","Block 2005, Block Group 2, Census Tract 102.01, Davidson County, Tennessee","19","19","0"
"1000000US470370102012006","Block 2006, Block Group 2, Census Tract 102.01, Davidson County, Tennessee","51","46","5"
"1000000US470370102012007","Block 2007, Block Group 2, Census Tract 102.01, Davidson County, Tennessee","2","2","0"
"1000000US470370102013000","Block 3000, Block Group 3, Census Tract 102.01, Davidson County, Tennessee","40","40","0"
"1000000US470370102013001","Block 3001, Block Group 3, Census Tract 102.01, Davidson County, Tennessee","17","17","0"
"1000000US470370102013002","Block 3002, Block Group 3, Census Tract 102.01, Davidson County, Tennessee","10","10","0"
"1000000US470370102013003","Block 3003, Block Group 3, Census Tract 102.01, Davidson County, Tennessee","46","46","0"
"1000000US470370102013004","Block 3004, Block Group 3, Census Tract 102.01, Davidson County, Tennessee","17","15","2"
"1000000US470370102013005","Block 3005, Block Group 3, Census Tract 102.01, Davidson County, Tennessee","24","24","0"
"1000000US470370102013006","Block 3006, Block Group 3, Census Tract 102.01, Davidson County, Tennessee","27","25","2"
"1000000US470370102013007","Block 3007, Block Group 3, Census Tract 102.01, Davidson County, Tennessee","42","42","0"
"1000000US470370102013008","Block 3008, Block Group 3, Census Tract 102.01, Davidson County, Tennessee","0","0","0"
"1000000US470370102013009","Block 3009, Block Group 3, Census Tract 102.01, Davidson County, Tennessee","0","0","0"
"1000000US470370102013010","Block 3010, Block Group 3, Census Tract 102.01, Davidson County, Tennessee","254","232","22"
"1000000US470370102013011","Block 3011, Block Group 3, Census Tract 102.01, Davidson County, Tennessee","0","0","0"
"1000000US470370102013012","Block 3012, Block Group 3, Census Tract 102.01, Davidson County, Tennessee","24","24","0"
"1000000US470370102013013","Block 3013, Block Group 3, Census Tract 102.01, Davidson County, Tennessee","30","22","8"
"1000000US470370102013014","Block 3014, Block Group 3, Census Tract 102.01, Davidson County, Tennessee","2","2","0"
"1000000US470370102021000","Block 1000, Block Group 1, Census Tract 102.02, Davidson County, Tennessee","23","23","0"
"1000000US470370102021001","Block 1001, Block Group 1, Census Tract 102.02, Davidson County, Tennessee","121","121","0"
"1000000US470370102021002","Block 1002, Block Group 1, Census Tract 102.02, Davidson County, Tennessee","8","8","0"
"1000000US470370102021003","Block 1003, Block Group 1, Census Tract 102.02, Davidson County, Tennessee","8","8","0"
"1000000US470370102021004","Block 1004, Block Group 1, Census Tract 102.02, Davidson County, Tennessee","81","79","2"
"1000000US470370102021005","Block 1005, Block Group 1, Census Tract 102.02, Davidson County, Tennessee","5","5","0"
"1000000US470370102021006","Block 1006, Block Group 1, Census Tract 102.02, Davidson County, Tennessee","97","83","14"
"1000000US470370102021007","Block 1007, Block Group 1, Census Tract 102.02, Davidson County, Tennessee","142","135","7"
"1000000US470370102021008","Block 1008, Block Group 1, Census Tract 102.02, Davidson County, Tennessee","3","3","0"
"1000000US470370102021009","Block 1009, Block Group 1, Census Tract 102.02, Davidson County, Tennessee","9","9","0"
"1000000US470370102022000","Block 2000, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","57","29","28"
"1000000US470370102022001","Block 2001, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","9","9","0"
"1000000US470370102022002","Block 2002, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","55","55","0"
"1000000US470370102022003","Block 2003, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","7","7","0"
"1000000US470370102022004","Block 2004, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","1","1","0"
"1000000US470370102022005","Block 2005, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","4","4","0"
"1000000US470370102022006","Block 2006, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","6","6","0"
"1000000US470370102022007","Block 2007, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","2","2","0"
"1000000US470370102022008","Block 2008, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","2","0","2"
"1000000US470370102022009","Block 2009, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","1","1","0"
"1000000US470370102022010","Block 2010, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","1","1","0"
"1000000US470370102022011","Block 2011, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","221","200","21"
"1000000US470370102022012","Block 2012, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","7","7","0"
"1000000US470370102022013","Block 2013, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","0","0","0"
"1000000US470370102022014","Block 2014, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","4","4","0"
"1000000US470370102022015","Block 2015, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","3","0","3"
"1000000US470370102022016","Block 2016, Block Group 2, Census Tract 102.02, Davidson County, Tennessee","0","0","0"
